Feature,Importance
NVDA_Corr_SOXX_60D,0.0913551586932325
NVDA_Return_60D,0.04765942038697796
NVDA_Corr_SPY_60D,0.04574204622064083
QQQ_Price,0.04514540938827748
NVDA_Corr_QQQ_60D,0.043360444320516146
NVDA_Volatility_60D,0.04096710946165192
NVDA_Volatility_20D,0.03902985325666408
SOXX_Price,0.03828627941625384
SOXX_Return_20D,0.03762752144947093
SPY_Price,0.03632977332941565
High,0.0350668807143011
NVDA_MA60_Ratio,0.03402298924353259
Low,0.03378141045752303
SOXX_Volume,0.03375912770375775
Open,0.03120805996197827
NVDA_Return_20D,0.027570549417718467
SPY_Return_20D,0.02339446398687444
NVDA_Volatility_10D,0.02209463034359607
QQQ_Return_5D,0.020922863587849658
SPY_Return_5D,0.0204201938829906
NVDA_Return_10D,0.020279978123588165
QQQ_Return_20D,0.019923436896887452
NVDA_MA20_Ratio,0.019285669405465253
NVDA_Return_5D,0.017044218873298125
NVDA_MA10_Ratio,0.01473579072297827
NVDA_Volume,0.014454640842675679
SPY_Volume,0.014358304777945526
NVDA_Volatility_5D,0.014191425492437855
NVDA_Volatility_3D,0.013799244584517265
SOXX_Return_5D,0.010204872017014288
QQQ_Volume,0.009147135873251281
QQQ_Return_1D,0.008615443276023062
NVDA_Return_3D,0.008538580738799009
NVDA_MA5_Ratio,0.007962330047878802
NVDA_Volume_Change,0.007615691730878685
NVDA_Volume_vs_MA20,0.007165859125477253
NVDA_MA3_Ratio,0.0069725003264026406
NVDA_Excess_vs_SPY,0.006826899724839917
SOXX_Return_1D,0.006616347482051909
NVDA_Return_1D,0.006491076969664853
NVDA_Excess_vs_QQQ,0.0061260979071265705
NVDA_Excess_vs_SOXX,0.00611590430562979
SPY_Return_1D,0.00578436553194513
Earnings_Event,0.0
Revenue_QoQ,0.0
DataCenter_QoQ,0.0
Gross_Margin_Change,0.0
EPS_QoQ,0.0
Guidance_Sentiment,0.0
AI_Sentiment,0.0
Export_Risk,0.0
