Model,Threshold,Accuracy,Final_Strategy_Return,Final_BuyHold_Return,Excess_Return,Strategy_Max_Drawdown,BuyHold_Max_Drawdown,Strategy_Sharpe,BuyHold_Sharpe,Trade_Days,Trade_Count
Random Forest,0.48,0.542016806722689,0.3278665444826443,0.29631249999999953,0.03155404448264476,-0.10829367969742099,-0.2022314528593513,1.211141621960047,0.9542205443439463,138,36
Logistic Regression,0.48,0.5042016806722689,0.2954071766216775,0.29631249999999953,-0.0009053233783220538,-0.0939353651053384,-0.2022314528593513,1.3060660531505013,0.9542205443439463,101,34
Random Forest,0.5,0.5588235294117647,0.26119902721971755,0.29631249999999953,-0.035113472780281985,-0.16188557403924098,-0.2022314528593513,1.1157815722747997,0.9542205443439463,104,28
Logistic Regression,0.5,0.4957983193277311,0.1972656778388593,0.29631249999999953,-0.09904682216114025,-0.09393536510533851,-0.2022314528593513,0.9582594419978483,0.9542205443439463,97,34
Logistic Regression,0.52,0.49159663865546216,0.1910127924920788,0.29631249999999953,-0.10529970750792073,-0.09393536510533851,-0.2022314528593513,0.9338678828374904,0.9542205443439463,96,32
Logistic Regression,0.55,0.4789915966386555,0.09550582309183309,0.29631249999999953,-0.20080667690816645,-0.0957499423373267,-0.2022314528593513,0.5549762257027151,0.9542205443439463,89,30
Hist Gradient Boosting,0.5,0.47058823529411764,0.06324980109517475,0.29631249999999953,-0.23306269890482478,-0.025698505766062585,-0.2022314528593513,1.2171527030977827,0.9542205443439463,9,15
Hist Gradient Boosting,0.55,0.46638655462184875,0.06000265719973741,0.29631249999999953,-0.23630984280026213,-0.025698505766062585,-0.2022314528593513,1.1845871509054462,0.9542205443439463,6,11
Gradient Boosting,0.48,0.46638655462184875,0.05662622633893921,0.29631249999999953,-0.23968627366106032,-0.011656000000000222,-0.2022314528593513,1.7347670361704164,0.9542205443439463,8,8
Hist Gradient Boosting,0.52,0.46638655462184875,0.056063912006334427,0.29631249999999953,-0.2402485879936651,-0.025698505766062696,-0.2022314528593513,1.0964643146754025,0.9542205443439463,8,13
Hist Gradient Boosting,0.6,0.46638655462184875,0.054008326946132224,0.29631249999999953,-0.2423041730538673,-0.001000000000000112,-0.2022314528593513,1.3725838461666464,0.9542205443439463,2,4
Hist Gradient Boosting,0.58,0.47058823529411764,0.052108611022219975,0.29631249999999953,-0.24420388897777956,-0.025698505766062696,-0.2022314528593513,1.0490735466329302,0.9542205443439463,5,9
Gradient Boosting,0.5,0.4579831932773109,0.0500043936415937,0.29631249999999953,-0.24630810635840583,-0.001000000000000112,-0.2022314528593513,1.7357708849185305,0.9542205443439463,4,4
Gradient Boosting,0.52,0.46638655462184875,0.03811593678324399,0.29631249999999953,-0.25819656321675555,-0.0010000000000000009,-0.2022314528593513,1.4144307059025125,0.9542205443439463,2,2
Random Forest,0.55,0.46218487394957986,0.024847583591967926,0.29631249999999953,-0.2714649164080316,-0.09290847907844069,-0.2022314528593513,0.3114336599798838,0.9542205443439463,19,16
Hist Gradient Boosting,0.48,0.46638655462184875,0.022654543950472394,0.29631249999999953,-0.27365795604952714,-0.06289768478698021,-0.2022314528593513,0.3886281566547468,0.9542205443439463,10,17
Random Forest,0.6,0.4579831932773109,0.004067078406952529,0.29631249999999953,-0.292245421593047,-0.004406994219653071,-0.2022314528593513,0.45770895724855315,0.9542205443439463,2,2
Gradient Boosting,0.6,0.4579831932773109,0.0,0.29631249999999953,-0.29631249999999953,0.0,-0.2022314528593513,0.0,0.9542205443439463,0,0
Gradient Boosting,0.58,0.4579831932773109,0.0,0.29631249999999953,-0.29631249999999953,0.0,-0.2022314528593513,0.0,0.9542205443439463,0,0
Gradient Boosting,0.55,0.4579831932773109,0.0,0.29631249999999953,-0.29631249999999953,0.0,-0.2022314528593513,0.0,0.9542205443439463,0,0
Random Forest,0.58,0.46638655462184875,-0.01680707632759526,0.29631249999999953,-0.3131195763275948,-0.03547416184971108,-0.2022314528593513,-0.5821305108056731,0.9542205443439463,6,4
Random Forest,0.52,0.5084033613445378,-0.03512593000473774,0.29631249999999953,-0.33143843000473727,-0.20539092288310834,-0.2022314528593513,-0.1243783244851571,0.9542205443439463,58,28
Logistic Regression,0.58,0.4579831932773109,-0.06579957337264042,0.29631249999999953,-0.36211207337263995,-0.16729980373252984,-0.2022314528593513,-0.27253890215115756,0.9542205443439463,80,30
Logistic Regression,0.6,0.44537815126050423,-0.08595691567830133,0.29631249999999953,-0.38226941567830086,-0.15085356245299286,-0.2022314528593513,-0.4765879213006436,0.9542205443439463,67,34
